PRISON,KEY,LEVEL_ONE,LEVEL_TWO,LEVEL_THREE,LEVEL_FOUR
BLI,BLI_G1,A:B:G:F:E:H,,,
BLI,BLI_G1,C,1,001:009:010:011:012:013:014:015:016:017:018:019:020:021:022:023:024:025:026:027:028:029:030:031:032,
BLI,BLI_G1,C,2,009:010:011:012:013:014:015:016:017:018:019:020:021:022:023:024,
BLI,BLI_G1,C,3,001:002:003:004:005:006:007:008:009:010:011:012:013:014:015:016:017:018:019:020:021:022:023:024,
BLI,BLI_G2,D:F,,,
BLI,BLI_G2,C,1,002:003:004:005:006:007:008,
BLI,BLI_G2,C,2,001:002:003:004:005:006:007:008:025:026:027:028:029:030:031:032,
